game,source_row_key,cardmarket_product_id,cardmarket_name_raw,raw_match,parser,parser_version,confidence
digimon,168918e5771738f181fff1def7e72501fdd8f907c79231579300008f231dd6d0,652325,Greymon,BT5-010,digimon_catalogue_name,1.0.0,candidate_only
digimon,16a2feb56a4b71daab8043dbdcd65a905fba70874fbae77559858547c49cb323,793786,LordKnightmon (X Antibody),BT19-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,16a442c02bd9d2ab333c9b67ab8c120f8d13f1d85cbcd09269d16ce4a554fa6d,862858,Physical Training,P-105,digimon_catalogue_name,1.0.0,candidate_only
digimon,16b9e17a8558bdc441b641b6255af1f7b6a0b545073ca2da00bab55d63043292,693205,Impmon,BT2-068,digimon_catalogue_name,1.0.0,candidate_only
digimon,172739afabb811b3b9d60e0208621442c9c42b8cfb3f6e150ab85b6fee96887e,669258,Gabumon (X Antibody),BT9-020,digimon_catalogue_name,1.0.0,candidate_only
digimon,179b29748cc183a6437b5deed74381b7cb214197f087c416e0fd692d6c3cd1c5,864500,Jupitermon,BT24-101,digimon_catalogue_name,1.0.0,candidate_only
digimon,17b61ff403eb0da17c159e7a5ab65e7bc365b7afb65fb55cacab935be0ee15a9,653256,Andromon,EX1-048,digimon_catalogue_name,1.0.0,candidate_only
digimon,17fd510693de246b6216709b2a86ac77b6e100157093b862972fc5af50963ba4,809535,Rapidmon Ace,BT19-050,digimon_catalogue_name,1.0.0,candidate_only
digimon,18081a6bf3d12081403bc67419e68d64e0ea5e39702acd9d7889dd2b80ace8e4,650846,Veemon,BT3-021,digimon_catalogue_name,1.0.0,candidate_only
digimon,1847785de5ec684edd01a40fdaec123a1580a99fdfff8b83969394e249f0f483,779722,DexDorugoramon,BT17-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,18de42a734d98f2eb10fb421ac51abe223dc4eda11d103a4723ddd4c753fa04f,743346,Impmon,P-071,digimon_catalogue_name,1.0.0,candidate_only
digimon,19000414bd8aadf619cd4828a12148cb6d673e22d2cc0a93925f381eb83ebe89,719323,Omnimon Alter-B,EX4-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,19308462e0933b42e194f55b38d787d5983d3c56d6e355fb8334c1af2aca4230,719322,Omnimon Alter-S,EX4-060,digimon_catalogue_name,1.0.0,candidate_only
