source_row_key,status,match_method,cardmarket_product_id,cardmarket_name,finish,provider_card_id,candidate_count,reason_code,evidence,cardmarket_url
759cbb017975a4c4281623ef916b20961d2741383d65d6a273fdc2aa43937bda,exact,direct_marketplace_id,576864,"K'rrik, Son of Yawgmoth",foil,a2dc6a50-2a7e-4366-82a7-3c5b5aa2cca6,1,,cardmarket_id=576864,https://www.cardmarket.com/en/Magic/Products?idProduct=576864&isFoil=Y
75aadda8d72a63bd99058085a4bdeded51ecaa0b3e63062f36d5b37d3eb49ece,exact,direct_marketplace_id,664955,Thrumming Stone,foil,87e79372-5ad3-4dea-9dcc-cf20f3b267c7,1,,cardmarket_id=664955,https://www.cardmarket.com/en/Magic/Products?idProduct=664955&isFoil=Y
75ac354e806ccb3196d77901dc121abd83f35d2c0ebf4b777cda9fdd905fb4e0,exact,direct_marketplace_id,271437,Lightning Greaves,nonfoil,7302619c-b202-493f-9e02-a831a08abc3f,1,,cardmarket_id=271437,https://www.cardmarket.com/en/Magic/Products?idProduct=271437
75affd344b77ac284b4efeb75af15dc471086dcb9ba3fc5b3a58d0bd8fc82750,exact,direct_marketplace_id,688405,Force of Will,nonfoil,83240eaa-edb4-4bd3-b193-29470cf46828,1,,cardmarket_id=688405,https://www.cardmarket.com/en/Magic/Products?idProduct=688405
75b75885dcc6448a749c8cd19cca4bdc2d45270832e258211550b2981855ddd8,exact,direct_marketplace_id,835738,Plaza of Heroes,foil,740eae1a-bfe0-4f3c-81e3-3fef962fa02d,1,,cardmarket_id=835738,https://www.cardmarket.com/en/Magic/Products?idProduct=835738&isFoil=Y
75b7bbd83985e9e88b363f37eea00a688f25c25d2c6ab430fa9d1a52cc827ef7,exact,direct_marketplace_id,2102,Caller of the Claw,foil,a073459e-1f00-47e0-a1b3-d30203aa35d1,1,,cardmarket_id=2102,https://www.cardmarket.com/en/Magic/Products?idProduct=2102&isFoil=Y
75b8e347ae9c284d22848c1b1327598a3aea258231f39122970b3e44c4fc1821,exact,direct_marketplace_id,17934,Tarfire,foil,d13a898e-6a97-4fd9-980e-3bfd8d755386,1,,cardmarket_id=17934,https://www.cardmarket.com/en/Magic/Products?idProduct=17934&isFoil=Y
75bfe3239d573c9280fa780b5679abe0824291c7403ace2e736f4d647378afb0,exact,direct_marketplace_id,319827,Mox Amber,nonfoil,66024e69-ad60-4c9a-a0ca-da138d33ad80,1,,cardmarket_id=319827,https://www.cardmarket.com/en/Magic/Products?idProduct=319827
75c4f69f4a09231c841e2cdbea6178e77eaa5b8aa444c018e9578971c2685ae7,exact,direct_marketplace_id,836386,Lotus Field,foil,b6adb5b0-7c5b-4da3-9405-8cd3e69ffc19,1,,cardmarket_id=836386,https://www.cardmarket.com/en/Magic/Products?idProduct=836386&isFoil=Y
75d2f23d21aea6d3971152bc6249b43fb6bd072e4c6ebb6442e9f03b5de4be4d,provider_missing,none,566871,Force of Vigor,nonfoil,,0,CM_ID_NOT_FOUND,,https://www.cardmarket.com/en/Magic/Products?idProduct=566871
75e1a6053e3c027f4a2b1d1793ed2048429766983def6a14a03472144dcf5563,exact,direct_marketplace_id,666316,Sliver Hive,foil,04541650-6ee7-4825-984e-4794b306c274,1,,cardmarket_id=666316,https://www.cardmarket.com/en/Magic/Products?idProduct=666316&isFoil=Y
75e3f02380a1947e56b79e32f5a3ba8c029112b519c6bd1fd697d74475682277,exact,direct_marketplace_id,659249,Smuggler's Share,nonfoil,8e0482e3-7723-4854-a078-f93d08dabb8d,1,,cardmarket_id=659249,https://www.cardmarket.com/en/Magic/Products?idProduct=659249
