source_row_key,sample_reason,review_status,cardmarket_product_id,cardmarket_name,finish,provider_card_id,provider_name,set_code,collector_number,language,layout,face_count,cardmarket_url,scryfall_url
3dfee7cab54fd4485ad1c252106adb4892e5caece07f8cf20eac6010122b381d,coverage_fill,pending,790872,Scalelord Reckoner,foil,68d50004-9bda-414f-bbad-9fc1e69faff1,Scalelord Reckoner,mb2,151,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=790872&isFoil=Y,https://scryfall.com/card/68d50004-9bda-414f-bbad-9fc1e69faff1
aa0b885b671a348db3629fd75d1e9d3f5260af8d5ae431b48a249772a0603502,coverage_fill,pending,366163,Temporal Manipulation,foil,6270b93e-8cd2-4668-982a-f4c4628da9d9,Temporal Manipulation,uma,77,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=366163&isFoil=Y,https://scryfall.com/card/6270b93e-8cd2-4668-982a-f4c4628da9d9
78990e29feed99f0a600e06cba4fb689b80f19ed040006eb152899b77da0ab09,coverage_fill,pending,372735,"Karn, the Great Creator",foil,9b572739-0a10-4af0-9014-dd81b67b3dbb,"Karn, the Great Creator",war,1★,ja,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=372735&isFoil=Y,https://scryfall.com/card/9b572739-0a10-4af0-9014-dd81b67b3dbb
0e4783548d41cca040cfbbe6a5f2458ca5a31b4256b644579cc1f0ea69b6fd9e,coverage_fill,pending,688811,Gamble,nonfoil,f7bc7576-233f-4267-9943-d831a5b2c233,Gamble,dmr,433,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=688811,https://scryfall.com/card/f7bc7576-233f-4267-9943-d831a5b2c233
46b66a597b6a6e2f2f54cba87d11a294fa2b6aed94c8acc422bd1eafc2d5a78e,coverage_fill,pending,473614,"Sheoldred, Whispering One",nonfoil,8b207a4a-47d1-4905-81d3-455c59bfd7da,"Sheoldred, Whispering One",jmp,278,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=473614,https://scryfall.com/card/8b207a4a-47d1-4905-81d3-455c59bfd7da
da3e80fef989549e679312050c846eaa638c1edaa7fe7474a2a1829d567a82ee,coverage_fill,pending,12440,Marble Titan,foil,e4816f18-9f66-4539-9764-2f65f2826812,Marble Titan,9ed,26,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=12440&isFoil=Y,https://scryfall.com/card/e4816f18-9f66-4539-9764-2f65f2826812
f03d1999483477c0de46b9f5b1c89d02c313ef0f01bc7ed37807b6a7f75ae110,coverage_fill,pending,5463,Ankh of Mishra,nonfoil,f594b7aa-d44e-47c4-989b-565f881e25f1,Ankh of Mishra,lea,230,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=5463,https://scryfall.com/card/f594b7aa-d44e-47c4-989b-565f881e25f1
cdffecca56858c7e843e10aaf2a35f7a895370dcde694b46f8fc3af0536f0cf9,coverage_fill,pending,16700,Fog,nonfoil,9592c31e-179e-43d3-b2b8-b83c0dbea922,Fog,sum,195,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=16700,https://scryfall.com/card/9592c31e-179e-43d3-b2b8-b83c0dbea922
6b256019c3958cccfa14790b976ea385f12bfc368664f9bbc110c59071d1a19e,coverage_fill,pending,717821,"Arwen, Weaver of Hope",nonfoil,f5fad384-3124-46b7-9cf3-0ce46c995162,"Arwen, Weaver of Hope",ltc,118,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=717821,https://scryfall.com/card/f5fad384-3124-46b7-9cf3-0ce46c995162
9680195d88aea72b95c4b9380392e5700c9768e90e0aa83b0358b87914fc0e30,coverage_fill,pending,585296,Manaform Hellkite,foil,0087f7de-7065-4492-8fe9-f9a22c32a05d,Manaform Hellkite,dbl,437,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=585296&isFoil=Y,https://scryfall.com/card/0087f7de-7065-4492-8fe9-f9a22c32a05d
